ID,TITLE,LOCATION,SKILLS,DATE
52538251,[NC_NC AI] AI서비스 백엔드 개발자 모집 (충원시 마감),경기 성남시 분당구,"AWS,인프라,클라우드,DevOps,Kubernetes",~ 02/10(화)
52419963,모바일 앱 개발자(경력 5~8년),경기 고양시 덕양구,"앱개발,쇼핑몰",~ 12/26(금)
52419919,모바일 앱 개발자(경력 3~5년),경기 고양시 덕양구,"앱개발,쇼핑몰",~ 12/26(금)
52419975,모바일 앱 개발자(경력 10년 이상),경기 고양시 덕양구,"앱개발,쇼핑몰",~ 12/26(금)
52512657,Backend 엔지니어 채용공고,서울 강남구,"백엔드/서버개발,전자상거래,쇼핑몰,B2C,오픈마켓",오늘마감
52444912,Full-Stack AI Engineer,서울 서초구,"앱개발,컨텐츠제공,인터넷교육,커뮤니티",상시채용
52511205,[Healthcare IT 솔루션 기업] 안드로이드 앱 개발,서울 서초구,"앱개발,헤드헌팅",오늘마감
52549999,[시중 은행] 백엔드 개발/운영,서울 중구,"백엔드/서버개발,헤드헌팅",오늘마감
52550120,[시중 은행] 모바일앱 개발/운영,서울 중구,"백엔드/서버개발,헤드헌팅",오늘마감
52371490,시스템 백엔드 개발자(시니어),경기 용인시 기흥구,"백엔드/서버개발,Node.js,운송·운수",오늘마감
52583994,대기업 그룹사 백엔드 엔지니어 (시니어),서울 강남구,"웹개발,개발PM,소프트웨어개발",~ 12/31(수)
52636789,대규모 트래픽을 견디는 백엔드 설계자,서울 강남구,"백엔드/서버개발,헤드헌팅",~ 01/10(토)
52636845,주식회사 모니본 AOS 개발자 모집,부산 부산진구,"Android,소프트웨어개발",~ 01/22(목)
52636914,확장성과 신뢰를 설계하는 백엔드 엔지니어,서울 서초구,"백엔드/서버개발,헤드헌팅",~ 01/09(금)
52165772,"Software Engineer, Backend - Data",경기 성남시 수정구,"백엔드/서버개발,판매",채용시
52351794,"Software Engineer, Backend - 엔터BE",경기 성남시 수정구,"백엔드/서버개발,전자상거래,쇼핑몰,B2B,B2C",채용시
52351738,"Software Engineer, Backend - 다이나믹 패키지",경기 성남시 수정구,"백엔드/서버개발,판매",채용시
52409943,응용시스템 개발 경력 채용(소프트웨어 엔지니어/백엔드/앱),서울 금천구,"앱개발,웹개발,소프트웨어개발",~ 01/25(일)
